real, imag
0.220752, 0.133731
3.77437, -3.86537
-0.423424, -0.277037
0.0235286, -0.0814684
-0.0324552, -0.449249
0.27366, -0.0821455
1.7458, 0.0254263
0.557583, 0.202547
-2.5617, 3.41406
-1.87798, -2.60929
1.94515, 1.3267
4.44621, -0.00135321
-0.46412, -1.06916
4.03126, 0.862061
4.60825, 0.0565759
-1.15079, 0.473102
0.899887, -0.0372122
2.57174, 0.88367
-0.512096, -1.98568
0.320273, -0.00290466
0.189697, 0.347271
0.996346, -3.27589
0.946152, 0.081234
0.00131023, -0.0555854
-0.691999, 2.75475
0.976955, -0.795794
-0.0574058, 0.758265
-1.76547, -1.10754
0.254972, -1.61847
3.64176, -2.25186
0.5374, -0.122285
0.195829, -0.0512591
0.940541, 1.60491
0.177377, 0.0246049
0.685937, -0.22461
-0.747503, -0.187344
0.168585, 0.305466
2.06057, 2.07511
0.783168, -0.185213
-0.379186, 0.41166
0.423857, 0.0763251
0.389905, 0.74752
1.6841, -1.14136
4.90031, -6.28142
-0.0662094, 0.129321
-0.0604872, 0.764075
2.82062, -0.576252
0.345709, -0.608855
4.75255, 6.52678
-0.0517238, -0.191205
0.543264, 0.143044
1.15668, -1.16022
-0.137895, -1.44936
0.638371, -0.818224
-0.441851, 0.908811
0.691205, -0.310822
0.191852, -0.204749
1.31991, 1.88068
-0.0244096, -1.29195
0.19323, 0.222737
0.450414, 0.225924
0.335249, 0.621752
-0.226064, 0.406329
0.799044, -0.82677
0.954643, 2.44467
2.27394, 1.19364
5.13608, 2.24864
-1.07993, -1.27509
2.99052, 1.70796
2.05168, -2.33939
0.384372, -0.284576
1.1754, 0.022656
1.41902, 1.23822
2.58618, -1.24042
-0.143459, -0.0321113
-0.116504, 0.358256
0.0609546, 0.936913
0.0983755, -0.0168514
1.59367, -0.0614462
0.00418573, -0.0144448
1.09029, -1.15005
2.57106, -2.15287
-0.0579899, -0.365409
0.144722, 0.114077
1.90795, -0.49898
1.06323, 0.196773
-0.241087, 0.617904
1.5183, -8.49559
-0.0625346, -0.0731646
-0.341076, 0.63813
0.301613, 0.375604
-0.0190234, 0.00211527
1.30537, -0.0305036
4.95901, -3.91373
0.264057, 0.311127
0.499625, 0.632135
0.073759, 1.211
2.67172, -0.330979
-1.00515, 0.447231
-1.84226, -1.92973
-0.0456565, -0.757624
0.169726, 0.471894
1.35074, 0.643232
0.364673, 0.254711
-0.0408857, -0.545603
4.78755, -5.36526
0.274126, -0.123973
0.182833, -0.0594055
1.07125, 0.133562
1.46981, -0.603104
7.64006, -0.875415
0.948089, 0.505058
2.18208, -1.00428
0.611818, 0.154126
0.129502, 0.461317
1.18465, 0.239278
0.872831, -0.873891
0.471116, -1.9073
1.50459, 2.41503
2.03361, 3.55248
1.4205, -1.48781
0.169952, 0.145363
0.411876, 0.0106975
1.67222, 0.555716
1.86394, -0.032575
0.277038, -0.29801
0.178106, 0.111858
0.146636, -0.403869
0.337494, 0.81125
0.378046, -1.08222
-0.151725, -0.398391
0.124007, 0.585161
0.197095, 1.38362
0.208193, -2.21096
0.153416, -0.0456503
3.31767, 1.00294
0.685777, 0.361201
0.289459, -2.14082
0.988737, -0.403119
0.661592, 1.99469
-0.0606059, -1.15243
-0.261498, -0.490539
-0.00498809, 0.0778357
2.18327, -7.77088
0.248473, -0.318848
-0.433697, -0.414213
-0.0109423, 0.00192714
0.251695, 1.3247
0.404764, 0.287974
1.30218, 1.18112
1.58886, 0.943464
-0.129136, 1.57812
1.80362, 1.62835
1.62082, -0.586537
1.28228, -1.30641
-0.0452878, -0.746764
0.669613, -0.353311
0.887203, -0.188912
0.715704, 1.24927
0.0678449, 2.38555
1.49245, -0.592201
-0.0269922, 1.18295
0.477757, -2.34267
-0.0274521, 0.192623
-0.560211, 1.57358
0.444427, -0.0547579
0.071715, 1.88419
0.905284, -1.06817
-0.0933248, 0.573282
1.33586, 0.50408
1.97185, 1.51264
0.638878, 0.167716
0.245924, -0.656872
0.0370225, -0.270991
-2.26464, 1.28608
-0.291537, -0.433111
0.317008, -0.116833
3.84634, -3.59797
0.15245, -2.27736
5.76927, 2.92771
0.477393, 0.0926046
0.484778, 0.543604
0.886243, -0.634722
0.231565, 0.0681093
-0.260333, 0.364471
-0.224758, 0.582473
1.26802, -1.49514
3.80531, 2.91815
0.16488, -0.58199
1.72318, -0.882117
0.788573, -0.124584
0.266248, -0.264582
0.321386, 0.199132
1.48885, -0.368263
0.554574, 0.0025227
1.29545, -0.146739
1.82056, -1.01617
1.39356, 0.443654
0.153081, 0.283434
1.0823, 0.239914
3.66256, 1.48559
4.78377, -5.19183
-0.0267614, 0.0210606
1.41702, 1.37243
4.48981, -0.62337
-0.691561, -1.83144
-0.401758, -0.677707
-1.99787, 1.82541
0.45172, -0.279094
5.05186, -0.748441
3.15073, -0.948309
-1.71189, 3.51115
0.0893714, -1.56325
-0.361391, -0.452205
0.669955, -0.451869
0.820223, -1.04358
0.702776, -2.50672
0.725735, 0.152845
1.17043, 1.04169
1.18403, 1.03981
-0.0906058, 0.327813
-0.821994, 0.566471
-0.228315, -0.534251
0.437643, 0.66448
0.550837, 1.16439
1.77029, -0.388489
0.740516, 0.173615
1.31262, -1.77263
1.57304, 0.241965
0.141731, 0.290558
0.985134, -0.534179
0.564875, -0.937749
0.939918, 0.392852
2.33324, 1.60619
0.0999253, -1.08955
0.452763, 1.29772
1.56498, 1.78771
0.436775, 0.416967
2.32108, -1.10286
0.829813, -1.67793
0.663391, 0.343164
-0.435467, 1.31687
1.80756, -0.724313
0.604064, -0.525305
0.00398603, -0.915279
-0.42707, 0.380605
2.7024, 0.394123
1.73417, -1.84018
0.428105, 0.139647
0.43514, -0.354098
0.0633457, -1.71362
0.305615, -0.126747
1.09337, 0.220658
0.187062, 0.521246
